sender,receiver,amount,ip,timestamp,status,isFraud
user11,7001164244,39507,82.246.180.105,2026-01-29 12:51:31,fraud,1
user5,9148786080,35098,136.92.109.104,2026-01-27 23:15:32,success,0
user47,9500777940,43507,231.54.4.14,2026-01-01 10:49:20,success,0
user30,6397539099,19667,249.62.50.184,2026-02-07 04:53:20,success,0
user20,6971890097,7547,223.101.177.251,2026-02-14 17:47:58,success,0
user3,9780916565,41689,8.128.86.135,2026-01-09 10:39:24,fraud,1
user20,7625206702,19181,17.192.144.125,2026-01-09 21:33:33,fraud,1
user50,8835965454,36613,47.60.18.144,2026-01-25 04:06:27,fraud,1
user44,9447700635,8929,156.74.246.246,2026-01-20 11:10:39,success,0
user37,7823222392,706,33.167.44.92,2026-01-24 23:53:26,success,0
user46,7696446039,44200,132.26.119.125,2026-03-05 00:35:05,fraud,1
user19,9559406377,27046,209.174.129.92,2026-03-10 17:25:46,success,0
user36,7088248892,14399,159.132.71.47,2026-02-17 22:26:07,success,0
user22,7663249022,29516,94.89.186.84,2026-02-16 03:02:22,success,0
user39,8007223394,37018,218.151.136.80,2026-03-10 00:53:29,success,0
user46,6898303585,46837,204.205.111.80,2026-03-16 06:39:43,success,0
user33,9234235806,40432,172.1.238.2,2026-01-14 05:48:18,fraud,1
user8,8856670754,8662,35.110.240.118,2026-03-02 20:27:13,success,0
user2,7609214077,22487,47.16.239.94,2026-03-11 05:36:19,fraud,1
user22,8672451146,21170,32.13.83.176,2026-03-17 00:41:29,success,0
user6,6151363010,25399,237.172.224.251,2026-01-03 13:42:32,fraud,1
user29,7525133313,40629,85.164.75.50,2026-03-19 02:20:42,fraud,1
user7,9067573114,11278,88.141.125.200,2026-02-23 23:04:19,success,0
user2,7190629797,6298,9.193.51.53,2026-01-26 09:42:58,success,0
user6,7516378526,29583,94.133.2.92,2026-02-13 16:01:17,success,0
user1,6842496852,5320,33.240.162.162,2026-03-17 06:05:15,success,0
user48,7582029269,35407,161.172.101.110,2026-01-31 21:36:22,fraud,1
user4,6636656362,6618,220.45.206.132,2026-03-04 01:12:19,success,0
user21,9524743350,11561,70.179.167.74,2026-03-08 07:22:49,success,0
user49,7844889512,32042,239.228.30.116,2026-01-17 07:07:05,success,0
user14,8794567764,33131,182.9.34.134,2026-01-27 20:23:51,success,0
user45,6319645856,44129,127.3.78.96,2026-01-19 02:36:49,success,0
user49,9110575932,5043,162.59.88.235,2026-02-10 22:52:50,success,0
user47,9077118599,4806,30.37.49.214,2026-01-08 03:23:29,success,0
user43,8620925353,20113,161.144.229.47,2026-01-05 07:25:58,fraud,1
user44,8824835316,48798,79.55.142.5,2026-03-11 06:20:31,success,0
user24,9401329073,11356,4.247.129.125,2026-01-26 12:13:50,success,0
user43,7142725460,15569,9.1.102.161,2026-01-22 02:40:51,fraud,1
user30,6337334716,13027,190.241.208.209,2026-03-14 05:04:41,success,0
user41,6240570181,8397,241.18.56.217,2026-02-23 11:01:56,success,0
user13,7299144026,3706,242.179.144.136,2026-02-16 07:12:33,success,0
user21,9186487254,10513,42.142.207.42,2026-01-13 13:14:01,success,0
user12,8945608384,13885,152.169.105.88,2026-03-03 13:35:47,success,0
user1,9070482431,41777,111.237.170.253,2026-01-09 04:13:35,fraud,1
user39,6684614430,2162,109.135.216.136,2026-02-12 02:49:35,success,0
user15,9800804003,19246,156.94.34.227,2026-03-04 23:21:10,fraud,1
user47,9013633495,10876,132.237.145.1,2026-03-04 21:44:29,success,0
user40,9630569437,40965,173.206.43.128,2026-01-13 05:27:26,success,0
user10,6190882853,3470,133.246.187.149,2026-01-05 01:52:39,success,0
user39,6387749718,30401,247.255.46.87,2026-01-04 21:19:11,success,0
user39,8460026011,12783,20.130.2.186,2026-01-20 21:13:15,success,0
user26,9667550857,45727,195.37.40.89,2026-02-23 11:07:51,fraud,1
user18,6507256394,11721,65.42.139.40,2026-03-02 04:12:52,success,0
user32,8177426518,26103,46.145.245.214,2026-01-29 04:33:56,success,0
user32,8193073050,21592,28.166.242.9,2026-01-01 15:47:26,fraud,1
user49,8126195146,1490,231.70.53.169,2026-01-19 22:02:04,success,0
user36,8549399182,17336,90.90.156.142,2026-02-07 19:25:43,fraud,1
user16,6692365000,38543,201.181.119.191,2026-03-10 01:42:40,success,0
user36,7028786106,23063,96.233.24.233,2026-01-22 05:19:05,success,0
user34,6071385116,23238,22.234.29.102,2026-01-05 15:04:06,fraud,1
user20,6127591510,7897,83.164.232.198,2026-01-28 07:59:00,success,0
user11,8232636011,20950,15.11.32.210,2026-01-02 03:47:48,success,0
user14,8012416062,37323,43.240.63.203,2026-01-09 01:24:02,success,0
user12,7460086491,4733,14.151.142.191,2026-02-04 12:11:34,success,0
user32,9324012034,40671,74.67.190.52,2026-01-12 06:11:01,success,0
user13,8950358885,36079,131.179.56.97,2026-01-04 03:37:57,fraud,1
user35,7125222090,35402,77.228.133.169,2026-02-03 18:14:59,success,0
user47,7823659649,20371,52.184.78.78,2026-02-15 10:52:08,fraud,1
user5,7729435103,40622,223.160.185.155,2026-02-04 02:10:53,success,0
user28,7903179648,43927,55.109.80.232,2026-03-03 21:17:15,success,0
user1,7932249242,49318,166.26.111.230,2026-02-04 17:41:43,success,0
user15,6937590284,32736,185.187.236.97,2026-02-02 20:38:00,success,0
user10,9674515340,43824,79.16.193.36,2026-01-27 18:46:58,success,0
user48,9399346475,4382,98.212.12.204,2026-03-17 20:47:39,success,0
user4,9028286643,15598,208.7.14.230,2026-03-07 13:03:02,fraud,1
user44,7631707767,44924,202.128.188.117,2026-01-21 00:24:07,success,0
user13,9211530915,35024,171.230.212.22,2026-02-08 23:28:36,fraud,1
user8,7415252685,15640,224.210.237.162,2026-01-11 20:57:10,success,0
user22,7586063140,35950,168.185.195.63,2026-01-17 15:03:50,fraud,1
user13,9476069121,39626,128.54.49.62,2026-02-26 13:56:08,fraud,1
user16,6862794019,25511,18.69.136.210,2026-02-03 13:39:41,fraud,1
user18,6495394739,8039,117.184.201.139,2026-02-08 18:34:01,success,0
user29,9325419969,41213,104.125.32.63,2026-02-06 19:02:15,fraud,1
user24,7916387995,42349,151.13.219.203,2026-01-06 06:19:49,fraud,1
user3,8128767245,18027,206.2.192.104,2026-01-21 21:24:37,fraud,1
user43,9979900178,39656,241.224.110.44,2026-02-06 12:45:08,fraud,1
user6,8187814771,13752,207.97.208.87,2026-02-21 21:43:15,success,0
user12,7605793214,15041,44.78.214.77,2026-03-17 10:23:56,success,0
user35,9234415251,7734,218.2.23.72,2026-01-08 18:59:21,success,0
user37,8254108077,48581,254.249.122.9,2026-02-04 12:23:54,success,0
user35,9004682960,3626,193.97.73.224,2026-02-22 00:36:05,success,0
user3,9129741980,32850,9.167.255.26,2026-02-25 23:20:40,success,0
user4,6848950046,16872,12.27.115.200,2026-01-26 21:42:46,success,0
user1,9914505325,38960,50.85.59.187,2026-03-17 18:21:46,fraud,1
user27,9361562253,40996,87.250.73.157,2026-02-04 19:17:29,success,0
user10,8712830873,49831,236.23.16.212,2026-01-19 15:31:37,fraud,1
user41,6480464081,14402,15.14.21.161,2026-02-06 05:52:07,success,0
user13,6516975188,10638,150.167.38.148,2026-02-27 05:01:39,success,0
user1,9177850592,22709,119.161.85.9,2026-01-30 11:08:12,fraud,1
user2,6986274968,47921,35.108.58.201,2026-02-05 04:25:46,success,0
user24,7711944238,15081,219.45.195.120,2026-02-07 00:41:54,fraud,1
user37,9585369364,23495,194.25.42.176,2026-01-08 03:47:53,success,0
user37,6823677943,17677,175.102.155.154,2026-01-18 04:55:42,fraud,1
user40,7897909836,21033,241.222.128.80,2026-01-06 01:44:23,fraud,1
user30,9525478924,16061,119.100.17.122,2026-01-06 13:10:21,success,0
user9,8387976270,31309,90.112.57.247,2026-01-26 15:40:46,success,0
user49,8559432732,37454,227.221.70.152,2026-02-12 02:26:49,fraud,1
user35,6134977641,39164,7.143.128.117,2026-02-04 19:18:17,success,0
user34,8191982960,19264,110.219.244.213,2026-01-09 05:21:44,fraud,1
user45,9743483754,47357,188.44.182.197,2026-01-11 15:32:23,success,0
user34,8416470329,5689,84.88.27.27,2026-02-08 22:01:40,success,0
user30,6848939025,39412,219.89.84.165,2026-02-10 05:39:53,fraud,1
user17,7002635176,9105,161.164.157.64,2026-01-20 04:16:47,success,0
user36,8658740290,24846,185.84.63.216,2026-02-02 23:37:42,fraud,1
user46,8959861698,13917,69.159.255.229,2026-02-06 07:00:11,success,0
user11,9796466331,9692,25.232.20.137,2026-02-23 14:01:44,success,0
user44,8127577703,20176,84.117.148.232,2026-02-22 04:24:25,fraud,1
user30,8171714716,35645,219.178.53.183,2026-01-14 12:42:51,success,0
user29,7479380961,25524,77.63.88.103,2026-01-28 03:16:09,fraud,1
user26,9723649094,49027,7.238.169.194,2026-03-16 04:39:59,fraud,1
user18,9401123610,44346,227.92.200.152,2026-01-18 07:08:24,fraud,1
user33,8051749685,42566,106.207.250.227,2026-01-14 01:04:15,fraud,1
user35,7411885506,6241,150.139.175.225,2026-01-15 13:32:08,success,0
user32,7075631425,7901,110.230.9.48,2026-03-04 17:05:02,success,0
user24,7234097211,28617,210.179.10.188,2026-02-10 12:23:09,fraud,1
user39,8909872136,15043,151.237.85.199,2026-02-14 21:53:26,fraud,1
user28,7900520603,17480,245.185.217.9,2026-03-21 16:40:03,fraud,1
user36,8237443096,9572,43.229.47.236,2026-03-10 13:00:36,success,0
user39,8921445060,6233,9.223.200.91,2026-01-21 18:46:56,success,0
user12,7285414130,15533,31.185.145.98,2026-02-21 16:21:24,success,0
user5,8419585806,11732,105.125.214.137,2026-01-12 17:28:49,success,0
user3,9182927547,10293,171.164.156.171,2026-02-21 18:23:27,success,0
user16,6098099899,9595,20.28.230.97,2026-01-13 14:08:19,success,0
user50,8415938207,32231,32.52.185.214,2026-02-26 07:10:39,fraud,1
user7,8948925434,27052,149.222.27.79,2026-01-09 06:33:18,fraud,1
user25,7018543781,5416,172.132.111.109,2026-02-06 23:17:02,success,0
user43,6222776119,47321,158.233.198.19,2026-01-11 16:37:31,success,0
user21,9172140691,32379,190.106.43.143,2026-01-30 20:06:30,fraud,1
user13,6560757318,18503,253.19.164.33,2026-02-22 19:19:57,success,0
user47,8573779589,6665,184.127.242.140,2026-01-06 00:38:58,success,0
user23,8376129052,47039,221.35.200.123,2026-02-07 23:54:08,fraud,1
user26,9692288165,13831,97.137.52.195,2026-02-14 12:33:47,success,0
user28,7090781040,14117,63.194.255.88,2026-03-21 13:50:28,success,0
user38,7132800850,16446,31.108.166.150,2026-02-26 21:30:41,success,0
user6,7199520154,13435,128.220.232.168,2026-03-16 18:09:43,success,0
user1,6728283577,26358,81.47.244.21,2026-01-16 20:44:49,success,0
user36,8367534692,12146,181.160.96.210,2026-03-18 14:29:41,success,0
user39,9041672774,44476,50.56.236.55,2026-01-20 01:49:44,fraud,1
user36,7607691441,38018,5.101.65.183,2026-01-24 20:26:51,fraud,1
user4,9949591765,13719,232.90.116.1,2026-01-29 22:07:18,success,0
user28,6853449302,49959,186.55.194.66,2026-01-24 23:39:01,fraud,1
user26,9136762205,19787,75.85.227.181,2026-03-14 15:09:52,success,0
user15,9545503391,34889,42.56.114.156,2026-01-18 20:14:39,success,0
user8,7506864427,1465,166.229.125.98,2026-03-02 18:12:49,success,0
user33,8085447198,3318,217.51.84.113,2026-02-14 16:45:50,success,0
user11,7215076518,30177,203.227.186.204,2026-02-21 09:02:53,success,0
user29,6820588771,13833,232.58.209.172,2026-02-28 22:14:28,success,0
user16,8531668116,16235,76.69.159.226,2026-03-10 16:07:43,fraud,1
user34,6564167398,37802,248.183.194.104,2026-02-26 23:19:26,success,0
user19,6111209428,27285,97.7.213.208,2026-02-17 18:47:31,success,0
user45,7054936025,28678,197.51.39.144,2026-01-01 01:56:45,success,0
user19,7857912026,49517,65.128.174.166,2026-02-01 02:07:33,success,0
user32,6359989213,30593,23.78.132.89,2026-01-22 16:30:11,success,0
user45,6556877483,26119,16.126.204.41,2026-01-18 16:13:02,success,0
user8,7452067208,20604,20.177.71.71,2026-01-16 08:30:45,success,0
user30,9104467881,45821,124.88.74.58,2026-02-05 23:47:34,success,0
user41,6845026897,36430,47.24.191.76,2026-02-05 06:39:00,success,0
user30,7924920343,44105,191.95.123.56,2026-01-10 14:41:19,success,0
user40,7395356670,34459,69.129.175.104,2026-03-14 22:07:25,fraud,1
user20,8519617416,19064,185.4.10.182,2026-03-09 11:08:10,success,0
user29,6292025282,21251,194.183.92.244,2026-01-17 16:05:09,success,0
user20,6081270174,35302,63.53.172.106,2026-01-31 19:21:51,fraud,1
user11,7282797693,18791,194.72.1.238,2026-01-07 17:24:13,fraud,1
user43,8034133294,14728,85.25.192.106,2026-02-14 03:12:17,success,0
user9,9888332570,9294,15.28.74.217,2026-02-16 13:40:51,success,0
user29,6473151727,31922,40.48.79.113,2026-02-15 14:58:52,fraud,1
user29,6315135369,3579,59.80.3.175,2026-03-04 14:50:53,success,0
user35,9191874665,11167,37.22.93.227,2026-03-13 16:09:06,success,0
user46,7797338849,11527,230.79.238.148,2026-01-27 15:54:02,success,0
user10,6888099686,7368,228.160.91.156,2026-01-17 10:12:02,success,0
user22,9803832730,46195,51.230.12.184,2026-02-15 09:35:48,fraud,1
user35,9193232321,46364,106.13.118.162,2026-03-02 17:07:59,success,0
user41,9047506004,1751,9.47.134.3,2026-01-04 15:52:58,success,0
user24,6259034315,24015,65.170.239.245,2026-02-26 05:15:43,fraud,1
user38,6217209089,26920,66.103.102.40,2026-02-25 03:19:27,success,0
user29,7143451647,4539,151.189.157.73,2026-01-26 22:30:16,success,0
user5,7951532375,6028,83.68.86.133,2026-01-29 23:03:37,success,0
user8,8525218821,46049,247.24.250.67,2026-01-01 23:49:00,success,0
user29,6565947946,3815,237.198.94.113,2026-03-21 23:14:55,success,0
user29,9346992899,8407,246.231.177.61,2026-01-09 18:31:31,success,0
user13,9141477633,9055,184.144.24.197,2026-02-20 17:58:05,success,0
user5,6818662734,15285,186.135.220.115,2026-01-01 02:10:37,success,0
user46,7149839131,35691,134.8.151.77,2026-01-24 06:57:28,success,0
user16,6932959846,17639,147.162.126.210,2026-01-05 21:55:28,fraud,1
user45,7789471898,24458,23.8.208.20,2026-02-13 14:45:16,fraud,1
user3,9877102723,10827,238.111.147.129,2026-03-21 00:12:47,success,0
user8,7822095315,42757,192.2.47.247,2026-02-10 05:42:10,fraud,1
user16,7780484543,22413,249.114.145.140,2026-02-28 06:24:47,fraud,1
user30,9903763926,6709,129.105.110.219,2026-01-24 07:22:03,success,0
user22,8341051776,22326,202.187.209.40,2026-01-07 00:03:30,fraud,1
user21,9819203474,15963,34.31.201.121,2026-01-23 01:30:54,success,0
user46,8407776861,16444,192.120.190.165,2026-03-15 06:23:45,fraud,1
user28,8725510993,33103,73.197.164.58,2026-01-30 03:08:51,fraud,1
user23,7708225578,14186,213.116.52.74,2026-02-19 10:58:44,success,0
user13,9459176198,36562,144.71.171.212,2026-01-17 21:56:52,fraud,1
user41,9031583044,5902,22.65.102.5,2026-03-20 19:16:12,success,0
user17,8765083444,17823,201.88.143.193,2026-03-09 10:48:27,fraud,1
user5,8901494785,36381,229.44.228.107,2026-01-02 10:59:04,success,0
user32,7266077976,20904,175.160.80.160,2026-02-19 05:17:30,success,0
user24,7271384018,15755,24.113.191.132,2026-01-28 20:33:57,fraud,1
user34,8985104425,9836,129.209.56.225,2026-02-02 02:55:20,success,0
user39,9131656235,39819,162.3.59.190,2026-01-10 08:49:36,fraud,1
user23,9539817527,11095,145.236.75.8,2026-01-01 03:47:05,success,0
user25,7356893782,34029,99.250.207.175,2026-03-08 12:49:34,success,0
user9,7358940011,41366,139.15.194.163,2026-02-25 03:44:11,success,0
user7,7156047078,39989,11.221.129.194,2026-01-23 23:49:54,fraud,1
user11,7304492400,9317,198.189.95.20,2026-03-08 03:04:27,success,0
user11,8097153057,21338,159.127.28.108,2026-03-14 18:50:20,success,0
user23,7203213739,39200,125.196.157.219,2026-01-12 18:19:09,success,0
user25,9219007946,18831,217.225.213.170,2026-01-01 01:21:44,fraud,1
user5,6306495099,24709,98.109.130.132,2026-03-17 22:52:00,success,0
user33,7083550886,24271,224.29.187.201,2026-02-21 17:53:26,fraud,1
user6,8142149742,4435,13.10.148.131,2026-02-26 12:58:51,success,0
user9,7683086027,14956,42.25.19.39,2026-01-01 21:56:07,success,0
user3,8897564906,12310,132.113.113.72,2026-01-24 18:56:30,success,0
user40,9861406374,34757,167.40.107.205,2026-01-23 09:22:43,success,0
user43,8510468420,3775,12.167.9.53,2026-01-24 16:15:04,success,0
user42,6780869205,8778,31.76.70.14,2026-02-18 16:20:17,success,0
user27,9835477917,19377,164.214.250.161,2026-03-03 08:39:32,success,0
user6,9317095419,22383,229.155.248.59,2026-01-06 00:50:38,fraud,1
user50,7054817987,44468,142.165.242.15,2026-02-05 07:46:06,success,0
user35,7264296862,39994,237.113.102.208,2026-03-08 02:40:38,fraud,1
user29,8786117606,32594,131.188.97.169,2026-02-21 00:08:04,success,0
user8,6346722453,28234,95.204.234.179,2026-03-08 18:29:22,fraud,1
user45,6719249770,16476,130.195.77.58,2026-03-15 16:27:08,fraud,1
user25,7338468219,28687,91.175.111.231,2026-03-16 14:42:09,success,0
user17,8782891012,49589,126.200.22.72,2026-02-19 22:33:22,success,0
user15,6746984366,41344,55.200.35.232,2026-01-24 03:05:46,fraud,1
user24,8491320512,31809,43.23.246.138,2026-03-04 20:15:22,success,0
user4,8656041689,5327,21.35.215.197,2026-03-21 19:30:28,success,0
user42,6002179203,1773,250.224.62.45,2026-01-03 02:34:00,success,0
user47,8283991910,20410,134.139.51.124,2026-01-31 06:00:55,success,0
user33,6875345847,6807,173.21.52.100,2026-02-26 12:40:21,success,0
user31,9730096822,4464,38.183.199.236,2026-02-03 17:52:30,success,0
user15,7606803952,9171,128.16.59.116,2026-03-21 07:02:01,success,0
user14,9495470095,11440,172.215.118.112,2026-01-26 16:20:07,success,0
user7,8563785246,43704,92.104.117.59,2026-01-13 10:50:19,success,0
user13,9517326317,25243,123.210.209.43,2026-03-13 21:25:26,fraud,1
user46,6180860743,46900,57.12.85.213,2026-01-19 08:58:52,fraud,1
user40,6439116427,31213,52.230.155.16,2026-02-03 16:14:04,fraud,1
user8,7719108631,11516,52.152.193.136,2026-03-15 16:50:35,success,0
user26,8603435322,48767,102.119.228.189,2026-03-06 11:34:36,fraud,1
user41,8994145386,27837,203.176.10.57,2026-03-11 20:44:14,success,0
user35,6142902973,32425,148.25.62.132,2026-03-09 23:32:50,fraud,1
user35,7411618982,45113,147.237.163.179,2026-03-15 23:06:16,fraud,1
user37,6602064374,19124,165.211.249.226,2026-01-28 16:58:40,success,0
user18,7610013044,33952,34.180.145.18,2026-03-02 14:04:07,fraud,1
user39,9188811606,33897,244.228.186.165,2026-03-21 18:39:50,success,0
user16,8165970542,18866,116.56.243.144,2026-03-08 12:54:24,fraud,1
user23,6839690595,23104,150.45.110.150,2026-03-18 19:55:07,fraud,1
user8,8289301762,41955,74.157.47.22,2026-02-19 01:03:14,success,0
user5,6835007803,24038,47.19.57.4,2026-02-06 05:50:05,fraud,1
user42,8423631913,39998,110.209.5.137,2026-02-22 00:07:56,success,0
user5,7409683299,43093,107.28.38.169,2026-02-28 02:26:47,success,0
user4,7353955822,17924,86.52.20.156,2026-03-10 20:50:48,fraud,1
user7,7463835383,14937,68.255.162.67,2026-03-01 05:43:26,success,0
user16,6868707214,38528,96.67.212.171,2026-02-28 20:38:09,success,0
user19,6924802771,7009,247.167.83.159,2026-02-17 04:40:44,success,0
user33,7733772475,17241,161.13.160.219,2026-02-13 10:02:01,fraud,1
user4,9977208639,42923,76.224.163.236,2026-01-15 13:06:37,fraud,1
user39,8268130356,19846,167.18.232.223,2026-02-26 14:16:22,success,0
user49,9002992311,17891,212.173.31.207,2026-02-03 08:53:17,fraud,1
user13,6773049472,27863,202.91.77.104,2026-03-15 22:34:57,success,0
user26,9819414324,39022,150.160.200.183,2026-01-01 11:30:51,fraud,1
user50,6566882356,39974,168.65.170.222,2026-01-07 07:14:51,fraud,1
user42,8361597351,22169,222.227.71.190,2026-01-22 12:39:49,success,0
user15,7954063840,3042,143.148.212.233,2026-02-26 15:09:07,success,0
user39,8862908819,14403,82.38.138.227,2026-03-08 20:51:30,success,0
user49,9183377197,24840,227.255.124.250,2026-01-10 04:01:56,success,0
user20,8867501043,38391,50.143.124.102,2026-03-15 18:48:23,fraud,1
user38,9905277825,40238,22.31.220.64,2026-02-19 11:46:46,success,0
user8,9388419930,10452,177.43.85.12,2026-02-14 11:49:05,success,0
user33,6797344985,35280,58.34.121.34,2026-03-09 05:39:06,success,0
user11,7205933764,1571,248.105.164.157,2026-01-26 17:10:18,success,0
user7,8758476527,42001,167.34.74.161,2026-02-08 20:57:31,fraud,1
user49,9365798025,12383,82.222.77.192,2026-01-11 22:10:03,success,0
user43,7082254911,30909,163.195.239.86,2026-02-24 05:26:20,success,0
user24,6514807371,49395,116.46.231.4,2026-01-19 14:39:09,fraud,1
user44,6369989886,23617,53.254.53.96,2026-03-18 10:14:37,fraud,1
user43,9103026163,10149,125.73.35.29,2026-01-23 05:50:30,success,0
user15,7833332357,45507,246.225.135.117,2026-02-26 15:47:15,fraud,1
user30,7592649740,17567,107.150.11.123,2026-02-08 05:56:09,fraud,1
user35,7699671352,9697,177.222.128.71,2026-02-02 09:52:37,success,0
user29,7743952236,33064,198.201.160.86,2026-01-12 15:18:24,fraud,1
user40,7008151447,33306,69.174.159.214,2026-02-10 14:42:19,fraud,1
user22,7984231899,11788,99.114.95.253,2026-01-08 09:41:17,success,0
user11,9860055939,39988,128.160.28.142,2026-02-16 19:55:45,fraud,1
user16,6783792662,39265,225.120.53.49,2026-01-20 17:12:21,success,0
user12,6579447726,3020,16.132.93.25,2026-03-02 12:06:38,success,0
user34,8430323933,15697,48.241.80.217,2026-02-06 01:59:39,success,0
user49,6155734375,18445,246.189.102.157,2026-02-20 21:49:53,fraud,1
user15,9820979537,14002,24.38.155.84,2026-02-09 04:50:39,success,0
user2,8616961549,5953,87.84.36.23,2026-02-12 18:00:40,success,0
user18,8653403033,1934,62.137.152.199,2026-02-09 09:58:45,success,0
user15,8219374795,32558,122.136.166.226,2026-01-17 18:13:53,fraud,1
user29,8918188281,42683,104.164.83.88,2026-03-15 16:39:06,fraud,1
user24,8098194067,27805,59.100.162.16,2026-01-26 04:14:04,fraud,1
user18,8209770033,3919,68.91.94.234,2026-01-06 05:26:52,success,0
user22,8081844671,35281,249.148.7.141,2026-02-19 01:14:35,success,0
user33,6235008734,5146,38.77.80.115,2026-02-05 05:12:48,success,0
user16,6527097225,5823,160.202.239.57,2026-02-19 19:59:34,success,0
user37,8627123230,32321,95.194.114.66,2026-02-28 13:15:57,success,0
user42,6698950134,46413,211.105.208.180,2026-02-24 04:56:42,success,0
user36,8488459107,43916,21.179.144.44,2026-01-24 22:43:50,fraud,1
user37,8616939575,35594,119.250.80.136,2026-02-07 18:53:33,success,0
user20,6299400970,23267,55.61.65.175,2026-03-16 01:21:18,success,0
user47,6484557815,31189,65.230.61.53,2026-01-21 16:18:23,success,0
user9,6268881305,24603,142.38.148.179,2026-03-12 17:40:37,fraud,1
user29,6615346133,16689,26.173.201.168,2026-03-07 03:01:54,success,0
user34,8835228756,33662,21.89.80.35,2026-02-25 19:42:52,success,0
